Group,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360
Control,1.068765586,1.032184352,1.096263517,0.130541177,0.228717421,0.249731054,0.277853471,0.306510028,0.324026198,0.344683209,0.352587687,0.372704481,0.394531492,0.413293165,0.402148341,0.396767761,0.433368724,0.404743965,0.424473232,0.453023594,0.439186547,0.477239529,0.454431811,0.50071181,0.492713522,0.513968264,0.494897802,0.51161012,0.515995938,0.541116494,0.530022308,0.564396536,0.541399299,0.530319568,0.534073761,0.521681363,0.54887124,0.55954856,0.597579036,0.559388862
Control,1.17954204,1.183657407,1.114573991,0.16093656,0.236158789,0.252850242,0.296693601,0.311327476,0.291568619,0.324285905,0.372315824,0.386395252,0.385171051,0.394707929,0.396333665,0.403182669,0.436046244,0.408444691,0.451836582,0.430873434,0.462778168,0.476030857,0.486490427,0.521578896,0.488515196,0.540804653,0.526119231,0.517126862,0.532432687,0.475839326,0.549501962,0.575260417,0.51456994,0.558694224,0.592459789,0.557089084,0.527363184,0.578447479,0.595785905,0.562872834
Control,0.807963164,0.834257074,0.856134352,0.104281362,0.204965265,0.240230657,0.256860931,0.299502205,0.287245299,0.274594288,0.278284254,0.336454194,0.323693543,0.357065633,0.368727708,0.346958397,0.346053114,0.388283415,0.386931942,0.393272642,0.361558428,0.378367424,0.411728312,0.407964626,0.432774896,0.421962127,0.4288074,0.414226272,0.438341196,0.436471804,0.442494915,0.446532027,0.477048911,0.439342144,0.46034497,0.456952349,0.458773383,0.447952992,0.440089431,0.430237277
Control,0.836352584,0.813861386,0.839686498,0.113079751,0.19958635,0.214896809,0.283648498,0.324805339,0.368055556,0.365506534,0.421285293,0.434774823,0.449097143,0.471688213,0.494223245,0.455590158,0.447458956,0.470568421,0.51359667,0.527538987,0.525204671,0.55730794,0.601666667,0.514892224,0.539158879,0.63562567,0.559565968,0.619642114,0.61965072,0.697823646,0.715055972,0.700702012,0.658080107,0.65381311,0.672073012,0.713170578,0.70300406,0.701369128,0.736967746,0.810889035
Control,0.854793745,0.87147528,0.893409869,0.126461871,0.188112489,0.21455844,0.238802733,0.232878808,0.249575365,0.275371222,0.264875,0.27707475,0.284933906,0.304151184,0.31639255,0.320129083,0.34099159,0.332362738,0.358978444,0.360609661,0.374469841,0.379367381,0.399273286,0.349951022,0.347399189,0.377967613,0.355176417,0.359285517,0.370210827,0.354369536,0.36966855,0.370688574,0.380267608,0.380899705,0.402798823,0.405774323,0.435302422,0.419065913,0.435104252,0.435414507
Control,1.82991408,2.158587672,1.824703166,0.415091211,0.653526971,0.757318952,0.889652741,0.901080062,0.956730769,0.94949789,0.944354483,1.066484224,1.059014459,0.922023029,1.072268176,1.173266471,1.090288316,0.987172706,1.100675586,1.164405641,1.222925356,1.200810811,1.122516083,1.121223197,1.200514487,1.082770916,1.210186614,1.390775988,1.169233004,1.344142857,1.096588779,1.17889269,1.309469748,1.247893167,1.243953458,1.333966325,1.412844037,1.347208687,1.39760479,1.316216924
Control,1.035418583,1.002010882,0.940477538,0.193589256,0.482889734,0.533648306,0.502624191,0.508858721,0.542877464,0.551353227,0.592506994,0.584672292,0.648718857,0.686613795,0.605063027,0.663972286,0.70322719,0.644747988,0.729685091,0.628778445,0.614245263,0.643356643,0.724763033,0.579567985,0.681185788,0.73052679,0.735463112,0.684109967,0.573858019,0.698457369,0.754613878,0.741179229,0.732498939,0.719079979,0.78147139,0.632800609,0.657196595,0.643505511,0.627209688,0.735155702
Control,1.209464757,1.387945671,1.056977433,0.32707665,0.427559524,0.463547198,0.570042637,0.634508606,0.552242424,0.611614173,0.642257952,0.608262817,0.493386319,0.57687991,0.61144063,0.512024336,0.481733125,0.659606205,0.497782579,0.53332468,0.570177109,0.714664945,0.811182341,0.612301487,0.688456896,0.751325794,0.640402539,0.809425015,0.566583264,0.698019802,0.723592125,0.730350364,0.613240418,0.763585125,0.892252252,0.860027121,0.765349086,0.728413186,0.825904287,0.999458791
Control,0.866736798,0.874751326,0.767331276,0.095070991,0.204456607,0.212708853,0.289502762,0.294475695,0.330290589,0.256355846,0.350543834,0.321775645,0.253758114,0.336956064,0.331861941,0.312968394,0.476072834,0.363512114,0.28975405,0.369074587,0.333880657,0.340489185,0.345558078,0.343012849,0.364517946,0.449554238,0.2724312,0.370699733,0.327291208,0.514475511,0.4617338,0.385151337,0.416833842,0.393831649,0.430557383,0.341486937,0.387090407,0.477254868,0.449161402,0.4078575
DSS,0.843998683,0.776341322,0.79224837,0.054962237,0.115785158,0.156071524,0.176386735,0.199653997,0.2221528,0.232435363,0.267174088,0.289403536,0.310258448,0.311878768,0.303507798,0.346523057,0.357565052,0.379792512,0.383558574,0.375536861,0.398192731,0.431835575,0.444714935,0.452245442,0.440246026,0.458500898,0.455123279,0.525450666,0.4924619,0.543775014,0.540324139,0.584758606,0.573468236,0.590274319,0.603005915,0.576100506,0.610660029,0.634106423,0.677958937,0.708808517
